splitter,chunk_size,overlap,retriever,reranker,k,n_chunks,n_queries_scored,recall,ndcg
char,256,40,cosine_numpy,cross_encoder,1,42451,61,0.15081967213114753,0.18032786885245902
char,256,40,faiss_flat,cross_encoder,1,42451,61,0.15081967213114753,0.18032786885245902
char,512,0,cosine_numpy,cross_encoder,1,23266,61,0.15081967213114753,0.18032786885245902
char,512,0,faiss_flat,cross_encoder,1,23266,61,0.15081967213114753,0.18032786885245902
recursive_char,256,64,cosine_numpy,cross_encoder,1,53567,61,0.1557377049180328,0.16393442622950818
recursive_char,256,64,faiss_flat,cross_encoder,1,53567,61,0.13934426229508196,0.14754098360655737
char,256,40,hybrid_rrf,cross_encoder,1,42451,61,0.09754098360655739,0.13114754098360656
token,128,20,cosine_numpy,cross_encoder,1,21450,61,0.1098360655737705,0.13114754098360656
token,128,20,faiss_flat,cross_encoder,1,21450,61,0.1098360655737705,0.13114754098360656
char,512,0,hybrid_rrf,cross_encoder,1,23266,61,0.08524590163934427,0.11475409836065574
token,128,20,hybrid_rrf,cross_encoder,1,21450,61,0.06475409836065574,0.09836065573770492
char,256,40,bm25,cross_encoder,1,42451,61,0.06147540983606557,0.08196721311475409
token,128,20,bm25,cross_encoder,1,21450,61,0.05327868852459016,0.06557377049180328
char,512,0,bm25,cross_encoder,1,23266,61,0.036065573770491806,0.04918032786885246
recursive_char,256,64,bm25,cross_encoder,1,53567,61,0.04918032786885246,0.04918032786885246
recursive_char,256,64,hybrid_rrf,cross_encoder,1,53567,61,0.040983606557377046,0.04918032786885246
char,512,0,cosine_numpy,cross_encoder,3,23266,61,0.2680327868852459,0.25019441814988386
char,512,0,faiss_flat,cross_encoder,3,23266,61,0.2680327868852459,0.25019441814988386
token,128,20,cosine_numpy,cross_encoder,3,21450,61,0.2680327868852459,0.2373607364761642
token,128,20,faiss_flat,cross_encoder,3,21450,61,0.2680327868852459,0.2373607364761642
char,256,40,cosine_numpy,cross_encoder,3,42451,61,0.23524590163934425,0.23463131229282885
char,256,40,faiss_flat,cross_encoder,3,42451,61,0.23524590163934425,0.23463131229282885
char,256,40,hybrid_rrf,cross_encoder,3,42451,61,0.219672131147541,0.20818627634585415
recursive_char,256,64,cosine_numpy,cross_encoder,3,53567,61,0.21639344262295082,0.2080889574363487
recursive_char,256,64,faiss_flat,cross_encoder,3,53567,61,0.21721311475409835,0.20203862552768406
