splitter,chunk_size,overlap,retriever,k,n_chunks,n_queries_scored,recall,ndcg
recursive_char,512,100,chroma,1,29996,61,0.17131147540983604,0.21311475409836064
token,256,40,faiss_flat,1,15610,61,0.16721311475409834,0.21311475409836064
token,256,40,faiss_hnsw,1,15610,61,0.16721311475409834,0.21311475409836064
char,256,64,faiss_flat,1,45355,61,0.16721311475409834,0.19672131147540983
char,256,64,faiss_hnsw,1,45355,61,0.16721311475409834,0.19672131147540983
char,256,64,chroma,1,45355,61,0.16721311475409834,0.19672131147540983
char,512,100,faiss_flat,1,24524,61,0.16721311475409834,0.19672131147540983
char,512,100,faiss_hnsw,1,24524,61,0.16721311475409834,0.19672131147540983
char,512,100,chroma,1,24524,61,0.16721311475409834,0.19672131147540983
recursive_char,512,100,faiss_hnsw,1,29996,61,0.15491803278688523,0.19672131147540983
token,256,40,chroma,1,15610,61,0.15901639344262294,0.19672131147540983
recursive_char,256,64,faiss_hnsw,1,53567,61,0.15901639344262294,0.18032786885245902
recursive_char,512,100,faiss_flat,1,29996,61,0.15081967213114753,0.18032786885245902
recursive_char,256,64,chroma,1,53567,61,0.1426229508196721,0.16393442622950818
recursive_char,256,64,faiss_flat,1,53567,61,0.13934426229508196,0.14754098360655737
token,128,20,faiss_flat,1,21450,61,0.1098360655737705,0.13114754098360656
token,128,20,faiss_hnsw,1,21450,61,0.1098360655737705,0.13114754098360656
token,128,20,chroma,1,21450,61,0.1098360655737705,0.13114754098360656
char,256,64,bm25,1,45355,61,0.04016393442622951,0.06557377049180328
char,512,100,bm25,1,24524,61,0.05737704918032787,0.06557377049180328
token,128,20,bm25,1,21450,61,0.05327868852459016,0.06557377049180328
token,256,40,bm25,1,15610,61,0.05327868852459016,0.06557377049180328
recursive_char,256,64,bm25,1,53567,61,0.04918032786885246,0.04918032786885246
recursive_char,512,100,bm25,1,29996,61,0.036065573770491806,0.04918032786885246
token,256,40,faiss_flat,3,15610,61,0.25163934426229506,0.26053752886417003
token,256,40,faiss_hnsw,3,15610,61,0.25163934426229506,0.26053752886417003
char,512,100,faiss_flat,3,24524,61,0.25163934426229506,0.25019441814988386
char,512,100,faiss_hnsw,3,24524,61,0.25163934426229506,0.25019441814988386
char,512,100,chroma,3,24524,61,0.25163934426229506,0.25019441814988386
token,256,40,chroma,3,15610,61,0.24344262295081967,0.24414408624121922
recursive_char,512,100,chroma,3,29996,61,0.21885245901639344,0.2406816442014935
token,128,20,faiss_flat,3,21450,61,0.2680327868852459,0.2373607364761642
token,128,20,faiss_hnsw,3,21450,61,0.2680327868852459,0.2373607364761642
token,128,20,chroma,3,21450,61,0.2680327868852459,0.2373607364761642
char,256,64,faiss_flat,3,45355,61,0.21065573770491802,0.23380097552693305
char,256,64,faiss_hnsw,3,45355,61,0.21065573770491802,0.23380097552693305
char,256,64,chroma,3,45355,61,0.21065573770491802,0.23380097552693305
recursive_char,256,64,faiss_hnsw,3,53567,61,0.22704918032786886,0.2244824000592995
recursive_char,512,100,faiss_hnsw,3,29996,61,0.2024590163934426,0.22428820157854265
recursive_char,512,100,faiss_flat,3,29996,61,0.21065573770491802,0.21609148026706726
recursive_char,256,64,faiss_flat,3,53567,61,0.21721311475409835,0.20203862552768406
recursive_char,256,64,chroma,3,53567,61,0.1942622950819672,0.19672131147540983
